
 Sensor	Mean [°C]	Min [°C]	Max [°C]	Stdev [°C]	duration	
 TMP1	24.77	20.21	32.92	3.37	16:50:00	
 TMP2	25.45	20.30	34.88	3.90	16:50:00	

